NO.,Date,Origin Time (UTC),Latitude,Longitude,Depth(Km),Magnitude(degree),Location
227,2/4/22,12:05:43,34.6052,45.2202,15,3.2,Shaykh Lankar - Kalar - Garmian
228,3/4/22,7:19:56,35.0772,45.6804,5,3.3,Darbandikhan - Sulaimanyha
229,3/4/22,8:14:48,35.2393,46.3196,9.9,2.6,Zhiwar - Kurdistan Iran
230,3/4/22,16:52:06,34.8918,46.268,5,2.2,Kermanshah - Iran
231,4/4/22,19:37:36,36.6786,45.1525,5,1.7,West Azerbaijan - Iran
232,5/4/22,4:26:15,37.1771,44.4718,5,3.2,Hakkari - Turkey
233,5/4/22,22:22:32,35.3332,45.135,10,2,Chamchamal - Sulaimanyha
234,6/4/22,20:22:03,36.8514,44.2064,11.8,2.4,Rezan - Mergasur - Akre
235,6/4/22,21:46:59,33.8197,45.9117,5,2.3,Ilam - Iran
236,7/4/22,13:36:02,32.8999,48.8285,15,4.2,Blutt - Iran
237,8/4/22,0:58:47,34.5611,45.3839,15,3.6,Salah Agha - Kalar - Garmian
238,8/4/22,2:33:32,34.5923,45.3824,15,2.2,Salah Agha - Kalar - Garmian
239,8/4/22,6:20:57,33.114,46.7741,10,3.8,Ilam - Iran
240,8/4/22,23:52:15,35.0421,46.7233,15,2.3,Samuridar  - Kurdistan Iran
241,9/4/22,8:27:13,34.7656,45.6629,15,2.4,Haji Lar - Khanaqin
242,10/4/22,0:01:13,35.2628,46.6546,15,3.2,Kalaleh - Kurdistan Iran
243,10/4/22,2:00:25,34.4116,46.0905,15,2.7,Kermanshah - Iran
244,11/4/22,11:17:58,35.7559,46.1243,10,1.9,Qokhalal -  Penjwin - Sulaimanyah 
245,12/4/22,12:21:13,34.2067,45.9667,15,2.3,Kermanshah - Iran
246,13-04-2022,19:20:52,34.6206,45.3691,7,2.3,Salah Agha - Kalar - Garmian
247,13-04-2022,20:00:10,34.5155,45.2305,5,3.9,Gulajo - Kifri - Garmian
248,13-04-2022,20:03:24,34.6168,45.3739,11.9,2.1,Salah Agha - Kalar - Garmian
249,13-04-2022,20:28:49,34.614,45.3727,11.9,2.3,Salah Agha - Kalar - Garmian
250,13-04-2022,20:39:13,33.9821,45.7682,11.5,2.5,Kermanshah - Iran
251,13-04-2022,22:42:26,34.6209,45.3783,15,2,Salah Agha - Kalar - Garmian
252,13-04-2022,22:57:52,34.5702,45.3664,15,2.6,Salah Agha - Kalar - Garmian
253,14-04-2022,1:53:41,34.6105,45.562,7,3.4,Sangar-i Zhuru - Kalar - Garmian
254,14-04-2022,11:23:50,35.669,45.9623,10,2.1,Kelu -  Penjwin - Sulaimanyah 
255,14-04-2022,19:19:58,34.0774,45.9721,10,2.4,Kermanshah - Iran
